Hashtag,Number of times brand tweeted the hashtag,Number of times other people tweeted the hashtag
#celebrityhunted*,0,1
#joinusforgood*,0,1
#showyourbodylove*,0,5
#meetdiana,0,1
#nodoveforme,0,1
#dovebiggame*,0,1
#howtopefect*,0,2
#showupforwishes*,0,1
#parenthomework,0,6
#smallyoutubearmy*,0,1
#babydovelove*,0,37
#surf_excel*,0,1
#dailyhanash*,0,1
#????????*,0,1
#???????,0,1
#performanceisourspeciality,0,1
#hourwithher*,0,2
#responsemedia*,0,1
#campaign50*,0,20
#littleblogrt*,0,2
#nodigitaldistortion*,0,1
#wedeservetoshine,0,3
#conversionjihad*,0,1
#??????????????????????????*,0,2
#dropdirtypalmoil*,0,16
#rangtan*,0,94
#rubiestalk,0,2
#rubyboxempties,0,2
#hwgivesback,0,5
#gew2018*,0,5
#saveorangutangs*,0,1
#fallbeautyroutine*,0,1
#hentikanminyaksawitkotor*,0,1
#iwdfestival2019*,0,2
#dovexdunkin*,0,8
#dxdsweepstakes*,0,8
#rubyboxbeauty,0,2
#womanwhomatters,0,2
#girlcollective*,0,126
#boycottcloseup*,0,1
#dove100coloursofafrica,0,21
#dovecrueltyfree*,0,9
#dropdirtypalmoilnow*,0,1
#????????????????,0,2
#woolseyfire*,0,1
#nopalmoilchristmas*,0,95
#icelandadvert*,0,2
#icelandchristmasadvert*,0,2
#voicesavelynnea*,0,1
#dovefallintofullness,0,8
#dovebeemorelikedawn,0,1
#stripwithlittlemix*,0,1
#cancelcruelty*,0,1
#ablutionsolution*,0,1
#hailertrailer*,0,1
#gandza,0,1
#theworldcupofads*,0,1
#nowmyteethareshinyaf,0,1
#stoppalmoiluse,0,1
#converttoandriod*,0,1
#novuelvoacomprartumarca,0,1
#teachersdryshampoo,0,1
#pbbbigwinner*,0,34
#showupforholidaywishes*,0,1
#freshnessallday,0,3
#napsplease,0,1
#africanprintdressup,0,3
#seshweshwematerial,0,2
#gujaratartcorner*,0,1
#advertisingphotoshoot,0,1
#focusworldchart,0,1
#focusciteeshow,0,1
#worldalliancerecordsllc*,0,1
#doveisnotcrueltyfree,0,1
#bydove,0,1
#fantasticmaywardxshowtime*,0,2
#mightaswellbeacommercial,0,1
#maywardfantasticachat*,0,17
#jackempopoytpc*,0,2
#jackempopoy27daystogo*,0,4
#iprnyc18*,0,1
#coconutsupply,0,1
#???????_???????*,0,1
#takeactionwithme*,0,1
#nourishingsecrets,0,3
#volumeandfullness,0,1
